YEAR;MONTH;DAY;HOUR;MINUTES;SECONDS;LONGITUDE;LATITUDE;DEPTH;MAG_TYPE;MAG;EVENT_NAME
2017; 8;23;11;57;26.00; -73.9996; -15.2996; 69.0;mb   ;4.6;SOUTHERN PERU
2017; 8;23;10;12;56.00; -67.1987; -23.8646;207.5;mb   ;4.4;CHILE-ARGENTINA BORDER REGION
2017; 8;23; 1;29;37.00; 142.2832;  38.8400; 53.8;mb   ;4.3;NEAR EAST COAST OF HONSHU, JAPAN
2017; 8;23; 0;28;36.00;-174.5241; -18.0515; 80.8;mb   ;4.4;TONGA ISLANDS
2017; 8;23; 0;10;56.00;-179.9424;  51.2404; 42.1;Ml   ;4.1;ANDREANOF ISLANDS, ALEUTIAN IS.
2017; 8;22;23;27;59.00; 157.7995;  51.1681; 64.8;mb   ;4.2;NEAR EAST COAST OF KAMCHATKA
2017; 8;22;22;26;14.00; 124.7364;  11.0135; 10.0;mb   ;5.0;LEYTE, PHILIPPINES
2017; 8;22;22;22;18.00; -93.1890;  14.4116; 10.0;mb   ;4.5;NEAR COAST OF CHIAPAS, MEXICO
2017; 8;22;22;14;54.00; -93.1893;  14.2263; 10.0;mb   ;4.9;NEAR COAST OF CHIAPAS, MEXICO
2017; 8;22;19;51;59.00;-116.9223;  35.9043;  6.1;ml   ;4.2;CENTRAL CALIFORNIA
2017; 8;22;18;22;52.00; 127.3973;  -6.6609;394.6;mb   ;4.2;BANDA SEA
2017; 8;22;16;26; 9.00; 128.9613;  -3.1760; 49.0;mb   ;4.3;SERAM, INDONESIA
2017; 8;22;11; 5;31.00; 146.9035;  -5.4254;224.1;mb   ;4.6;EASTERN NEW GUINEA REG., P.N.G.
2017; 8;22; 8;40;38.00;  -1.9294;  71.7680; 10.0;mb   ;4.4;JAN MAYEN ISLAND REGION
2017; 8;22; 0;50;36.00;  81.1053;  29.3931; 10.0;mb   ;4.6;NEPAL
2017; 8;21;23;53;43.00; 142.7839;  41.3131; 39.9;mb   ;4.4;HOKKAIDO, JAPAN REGION
2017; 8;21;23;31;14.00; 124.8837;   1.0420;138.8;mb   ;4.4;MINAHASSA PENINSULA, SULAWESI
2017; 8;21;23;16;22.00; 150.8404;  -6.0217; 98.3;mb   ;4.8;NEW BRITAIN REGION, P.N.G.
2017; 8;21;22;53;22.00; 113.4273;  -9.3234; 52.9;mb   ;4.6;SOUTH OF JAVA, INDONESIA
2017; 8;21;22;37;54.00; 142.2838;  38.9742; 28.8;mb   ;4.6;NEAR EAST COAST OF HONSHU, JAPAN
2017; 8;21;21;28;27.00; -93.1646;  14.3861; 10.0;mb   ;4.3;NEAR COAST OF CHIAPAS, MEXICO
2017; 8;21;21;21;50.00;-178.4837; -17.8656;578.2;mb   ;4.1;FIJI ISLANDS REGION
2017; 8;21;21;12;23.00;-171.5759; -15.4933; 10.0;mww  ;5.3;SAMOA ISLANDS REGION
2017; 8;21;20;52;23.00; 179.4879;  62.9682; 10.0;mb   ;4.6;EASTERN SIBERIA, RUSSIA
2017; 8;21;20;17;44.00;-178.4694; -17.6542;531.9;mb   ;4.5;FIJI ISLANDS REGION
2017; 8;21;18;58;15.00;-178.2601; -29.9412;136.6;mb   ;4.3;KERMADEC ISLANDS, NEW ZEALAND
2017; 8;21;18;57;51.00;  13.9449;  40.7797;  9.3;mb   ;4.2;TYRRHENIAN SEA
